['Nome', 'Partido', 'Número']
['Abner Tofanelli', 'PDT', 1250]
['Abouanni', 'União', 4410]
['Abraham Weintraub', 'PMB', 3501]
['Adalberto Maluf', 'PV', 4344]
['Adamario Maximo', 'Novo', 3008]
['Adauto', 'Avante', 7025]
['Adelaide Oliveira', 'Podemos', 1904]
['Adelson de Souza Penha', 'Agir', 3006]
['Ademilson Cunha', 'Republicanos', 1095]
['Ademir Clemente', 'PRTB', 2874]
['Ademir Pereira', 'Avante', 7036]
['Adérito Dutra', 'PSOL', 5008]
['Adevar Campana', 'Patriota', 5180]
['Adilson Barroso', 'PL', 2251]
['Adilson Farias', 'Novo', 3004]
['Ado Santos', 'PRTB', 2804]
['Adriana Afonso', 'PTB', 1422]
['Adriana Ramalho', 'PSD', 5522]
['Adriana Vegane Pierin', 'Avante', 7069]
['Adriana Ventura', 'Novo', 3030]
['Adriana Zink', 'PSDB', 4544]
['Adriano Guimarães', 'PP', 1145]
['Adriano Sopó', 'PDT', 1288]
['Adrilles Jorge', 'PTB', 1414]
['Advogada Rose Moreira', 'PTB', 1431]
['Agnaldo Araujo', 'Avante', 7034]
['Agnaldo Oliveira', 'PSD', 5517]
['Agnaldo Santos', 'PMB', 3536]
['Agostinho Gomes', 'PSOL', 5029]
['Ailton Alcantara', 'DC', 2733]
['Ailton Bispo', 'PSC', 2029]
['Akerin Bolsonaro', 'PRTB', 2823]
['Alan Marra', 'Solidariedade', 7703]
['Albanez Cerato Cone', 'PTB', 1433]
['Albertino Oliveira Sapopemba', 'PSOL', 5065]
['Alberto Mourão', 'MDB', 1599]
['Alcides Fernandes', 'MDB', 1525]
['Alencar Santana', 'PT', 1358]
['Alessandra Prandi', 'MDB', 1524]
['Alessandra Stringheta', 'Patriota', 5140]
['Alessandra Valin', 'PTB', 1435]
['Alessandra Vergilio', 'Novo', 3056]
['Alessandro Almeida', 'Podemos', 1960]
['Alessandro Azevedo', 'Avante', 7075]
['Alessandro Fattioli', 'PSD', 5586]
['Alex Macedo', 'União', 4432]
['Alex Manente', 'Cidadania', 2323]
['Alex Reis', 'União', 4413]
['Alexandre Boschini', 'PRTB', 2873]
['Alexandre Leite', 'União', 4425]
['Alexandre Padilha', 'PT', 1354]
['Alexandre Pinheiro', 'Novo', 3041]
['Alexandre Terreri/Rede Animal', 'Rede', 1880]
['Alexis Fonteyne', 'Novo', 3000]
['Alexis Junnior Radialista', 'PSC', 2001]
['Alexsandra Ribeiro', 'PSB', 4006]
['Alice Ribeiro', 'PSOL', 5009]
['Aline Assistente Social', 'Solidariedade', 7789]
['Allan Aroni', 'PRTB', 2846]
['Allan Carteiro', 'AGIR', 3650]
['Altair Campana', 'PTB', 1471]
['Altavista', 'DC', 2774]
['Aluisio Lundgren', 'PROS', 9074]
['Álvaro Jeronymo Qaeqse', 'PSOL', 5030]
['Amanda Santos', 'Patriota', 5132]
['Amarelinho', 'PSC', 2088]
['Ana Flavia', 'Avante', 7097]
['Ana Goffi', 'MDB', 1513]
['Ana Paiva', 'PDT', 1240]
['Anderson Amem', 'PRTB', 2886]
['Anderson Bianchini', 'PROS', 9034]
['Anderson Sampaio', 'PTB', 1476]
['Anderson Severiano', 'Rede', 1805]
['André Bokinha', 'Avante', 7014]
['Andre do Viva', 'Patriota', 5155]
['André Gaetta', 'PDT', 1254]
['Andre Pedroso', 'PTB', 1438]
['Andre Vilão', 'Patriota', 5113]
['Andréa Moraes', 'Novo', 3031]
['Andréa Reis', 'Avante', 7088]
['Andréia Amaral', 'Republicanos', 1041]
['Andreia da Farmácia', 'Solidariedade', 7773]
['Andreia Tofollo', 'Solidariedade', 7707]
['Andreia Vaz', 'MDB', 1508]
['Ane Sollar', 'PSB', 4002]
['Anete Pizzimenti', 'PRTB', 2888]
['Angela Barbosa', 'Solidariedade', 7765]
['Angela Rodrigues', 'PRTB', 2843]
['Anne do Acarajé', 'PTB', 1416]
['Antonio Carlos Rodrigues', 'PL', 2211]
['Antonio Marcos Polyceno', 'Avante', 7094]
['Antonio Motta', 'Novo', 3012]
['Antonio Neto', 'PDT', 1200]
['Antônio Ocilio', 'PSOL', 5011]
['Anuxa Sales', 'PSDB', 4557]
['Aparecido Rubens de Andrade', 'PROS', 9065]
['Apresentador Marcio Augusto', 'PTB', 1444]
['Ariadna Arantes', 'PSB', 4065]
['Arilson', 'PSC', 2045]
['Arlequina Cosplay', 'PMB', 3553]
['Arlindo Chinaglia', 'PT', 1322]
['Armandinho Ferreiro', 'MDB', 1562]
['Armando Infanti Jr', 'Patriota', 5138]
['Arnaldo Jardim', 'Cidadania', 2345]
['Arnaldo Salvetti', 'MDB', 1587]
['Arten', 'MDB', 1526]
['Arthur P. Machado', 'Republicanos', 1050]
['Arthur Weintraub', 'PMB', 3502]
['Artur Guimarães', 'PMN', 3381]
